	op_id	op_gender	post_id	q	is_qy	q_score	oov
83917	30328617	W	83917	This was a real mix of heavier weight and lactic acid work at the end: I think my legs have definitely grown over the last 6 weeks on this training plan, and looking forward to mixing things up from next week...  What did you train today and how did it go?!?	False	4.282493859530945e-08	False
83968	30328617	W	83968	What happens when the 2 WBFF Fitness Model 2014 Champions get together?!?	False	5.345602582806919e-08	False
84021	30328617	W	84021	I've been working hard to keep my condition whilst on the road, and pretty happy with how I have held it together... What do you think??	False	6.245260408821451e-08	False
68934	66833072	W	68934	Mean girls strike again!?	False	7.186027495276193e-08	False
83830	30328617	W	83830	Fingers crossed these ease off over the next week or so... ;)  What is your weakest muscle group and why?!?	False	7.727361595044613e-08	False
84126	30328617	W	84126	What did you train today and how did your session go?!?	False	7.768266452323758e-08	False
85460	30328617	W	85460	I am looking to hit a little heavier than I have done for a while, so am progressing with caution ;)    As always, if you are following these workouts, good luck, and if you aren't, why not give it a try?!?	False	8.239287707656473e-08	False
84192	30328617	W	84192	How have you started off your week?!?	False	8.994030731290792e-08	False
83961	30328617	W	83961	A great Advanced Training Technique and one you should definitely try out...  What did you train today and how is your training week going?!?	False	1.0416294538018178e-07	False
84363	30328617	W	84363	?	False	1.082305971511488e-07	False
83950	30328617	W	83950	This is my weak link program designed to bring up some of my not so strong areas: it is important to work on your weakness not just your strengths in order to improve...  What do you need to work on to get better?!?	False	1.0994666455044211e-07	False
83789	30328617	W	83789	What did you train today?!?	False	1.1067575189649403e-07	False
84712	30328617	W	84712	d1- Glute Ham Raise 3 x 8-10, rest 60, into d2- Seated extensions 3 x 8-10, rest 60. e1- Hip Thrusts 3 x 8-10, rest 60s, into e2- Seated extensions 3 x 8-10, rest 60s  Am loving this series of workouts, but it seems like it is time for a change to step things up and set some new goals after my trip…  What do you guys think I should do next?!?	False	1.1256052867558708e-07	False
84244	30328617	W	84244	Hope you are all having a great weekend: what are you up to?	False	1.1277705336265598e-07	False
84151	30328617	W	84151	How is your week going?!?	False	1.1323883086777897e-07	False
84060	30328617	W	84060	Needed this to get the blood flowing and keep my body on track for when I head to 'Merica next week: amazing what a quick session can do to keep the wheels moving...  How have you started training this week?	False	1.3031911738625723e-07	False
83943	30328617	W	83943	;)  At the end it was all about chasing the pump with the Cluster Sets: this style of rest-pause training is brutal, so if you want more info on it, check it out on Google...  How did you start off your week of training?!?	False	1.3310442947833678e-07	False
83952	30328617	W	83952	What do you think of this workout?!?	False	1.3665955012065467e-07	False
83906	30328617	W	83906	Hope you all had a good weekend: what did you get up to?!?	False	1.3709058788169415e-07	False
84203	30328617	W	84203	How is your week of training going?!?	False	1.394486704997533e-07	False
84055	30328617	W	84055	d1) 40mins Treadmill Walk @15% incline and 5.5kmph  This took just under and hour and gave my body a bit of rest: will have to sneak in tomorrow to get the weights done...  What are you up to this weekend?	False	1.7575047128737253e-07	False
83955	30328617	W	83955	;)  How have you started your training week?!?	False	1.7905868665568647e-07	False
83849	30328617	W	83849	?	False	1.8486826025565506e-07	False
84187	30328617	W	84187	This morning I had Active Release Techniques with Heather at 1Body4Life... now I feel like a new man and am ready to smash the rest of this weeks training...  Who wants to see a workout video and shoulder update today?!?	False	1.9261181449792275e-07	False
84149	30328617	W	84149	Who wants to see that workout too?!?	False	1.9363798742233485e-07	False
83931	30328617	W	83931	What did you train today and how was your workout?!?	False	1.9807726936438286e-07	False
84667	30328617	W	84667	What did you train today?!?	False	2.1291680063484364e-07	False
64279	66833072	W	64279	Was this shipping container Abby's prison for 9 months?	True	2.2258944465392005e-07	False
87645	30174049	W	87645	Our new #TodayInLA team starts bright and early tomorrow morning 4:30am-7am on @NBCLA A little intro?	False	2.786111884534037e-07	False
84232	30328617	W	84232	How has your week of training been so far?	False	3.12607132180176e-07	False
83866	30328617	W	83866	Are you training this week or resting up ready for January?!?	True	3.263878689541144e-07	False
83889	30328617	W	83889	Short and sharp and finished in 45mins: glad I forced myself to do it: it's the sessions that you do when you really don't want to that make the difference...  What did you train today?!?	False	3.440213471872511e-07	False
15087	11139544	W	15087	And what rhymes with 22?	False	3.460841732083608e-07	False
36546	92735495	W	36546	The beauty of serving an amazing God is He already knew we would do everything we ever did and guess what?	False	3.597296076573997e-07	False
84148	30328617	W	84148	#fatarmfriday at its best...  How has your training week gone so far and are you lifting or resting this weekend?!?	False	3.624534358204201e-07	False
63865	66833072	W	63865	Question: Did they make the right choice?	False	3.747452058666667e-07	False
83834	30328617	W	83834	If you want some pain, give this one a go as it was brutal...   How was your training today?	False	3.9475481505846233e-07	False
130325	82700793	W	130325	What is wrong with people?	False	4.041146185462807e-07	False
83965	30328617	W	83965	And my shoulder feels great...  How did you start your training week?	False	4.071820741691212e-07	False
84054	30328617	W	84054	I think I have earned the rest of the day off to chill with my family and then head out to the O2 to watch the Anthony Joshua fight tonight...  What do you think the result will be?	False	4.342005515134417e-07	False
63753	66833072	W	63753	Why aren't police doing more to find her?	False	4.515597712417829e-07	False
86633	30174049	W	86633	5 What's your favorite beer?	False	4.751538131841926e-07	False
67974	66833072	W	67974	Any predictions?	False	5.277491540445212e-07	False
84008	30328617	W	84008	;)  What are you up to this weekend?	False	5.712676384161952e-07	False
83953	30328617	W	83953	How was your session today?!?	False	5.739798661918982e-07	False
68633	66833072	W	68633	"Why are we ""blaming the woman"" in the Arnold scandal?"	False	5.807565213178378e-07	False
84229	30328617	W	84229	How has your week of training been?!?	False	6.164353557602809e-07	False
63976	66833072	W	63976	Does Joelle's dramatic reappearance mean police are any closer to finding Kristy Kelly?	True	6.181668927851547e-07	False
84097	30328617	W	84097	How have you kicked off your week of training?!?	False	6.799451350847363e-07	False
83878	30328617	W	83878	What did you train today?!?	False	7.494102044480755e-07	False
84078	30328617	W	84078	What are you unto this weekend?	False	7.889819958473154e-07	False
68378	66833072	W	68378	What was she thinking!?	False	8.538431323090734e-07	False
84129	30328617	W	84129	How has your week of training started off?	False	8.753475904121899e-07	False
84346	30328617	W	84346	Are you training or resting this weekend?	True	8.771349362390879e-07	False
84029	30328617	W	84029	Check out this behind the scenes video from my Optimum Nutrition photo shoot this morning: I got to sneak a couple of screen grabs off the back of the camera and really like the style of shot... What do you guys think?!?	False	8.918239848831888e-07	False
84174	30328617	W	84174	I worked up to just under bodyweight on the squat (the limiting factor is how much I can hold on my back with my shoulder range), so an improvement from last week...  How is your training going?!?	False	9.452900561202071e-07	False
84200	30328617	W	84200	;)  Hope you all have had a killer weeks training... what have you lifted?!?	False	9.511238905357544e-07	False
83997	30328617	W	83997	"This was a mix of straight sets and ""8x8s"" for that Friday afternoon pump: what do you think of this workout?!?"	False	9.535115584879961e-07	False
84588	30328617	W	84588	Then I hilt series A-D...  What do you do to get ready for your workout?	False	9.938528010566827e-07	False
64789	66833072	W	64789	What drove this mom to kill six of her babies?	False	9.990682463545397e-07	False
84845	30328617	W	84845	I give these guys my kcals, macros and number of meals (even when I train so they can plan the carbs around them), and then I wake up every morning to a cool box waiting on my doorstep…  What this means to me?!?	False	1.0336224659512894e-06	False
84161	30328617	W	84161	A little bonus session like this every week should put them all back on track in no time... ;)  How have you finished off your workouts this week?!?	False	1.1033560066708858e-06	False
84556	30328617	W	84556	;)  How has your training week been?!?	False	1.1440630748316138e-06	False
128244	5711509	W	128244	A QUÉ EDAD DEBE DARLE UN CELULAR A SU HIJO?	False	1.1581815921868355e-06	False
13179	73963222	W	13179	DO YOU HAVE ANY IDEA HOW MUCH YOU MEAN TO ME?	True	1.161829411122639e-06	False
64468	66833072	W	64468	More Here: http://on.hln.tv/3fI0Ao - What are your thoughts?	False	1.1618891262443753e-06	False
84065	30328617	W	84065	What are you up to this weekend?	False	1.1650439830646064e-06	False
84087	30328617	W	84087	What did you train today?!?	False	1.207375289524748e-06	False
84090	30328617	W	84090	Surprisingly my energy was a little off today: I think the long hours of the course and lack of sleep over the weekend may have had an impact, but I'm determined to hit it hard tomorrow after a good sleep tonight... ;)  How have you started your week of training?	False	1.2123421481158303e-06	False
63770	66833072	W	63770	All of this for a traffic stop?	False	1.2242862829081602e-06	False
84206	30328617	W	84206	What do you think of this workout?!?	False	1.2260169627298367e-06	False
68965	66833072	W	68965	Did he just suddenly snap?	True	1.2496424255381555e-06	False
64450	66833072	W	64450	Was she involved?	True	1.2508681920264664e-06	False
91223	3282887	W	91223	- Reprisal of two musical roles in May and December: Lulu in Dama Orchestra's I Have A Date With Spring and PAN Productions' Always In Wonderland?	False	1.2885036724252785e-06	False
83857	30328617	W	83857	😜   Shaun Stafford Fitness  After a solid 2 weeks off-piste with my diet and training, I went from 92kg on New Year's Day to just under 88kg this morning... What did I do?!?	False	1.3235908722375456e-06	False
63910	66833072	W	63910	"Do you believe the ""good samaritan"" story?"	True	1.3341446707393345e-06	False
68766	66833072	W	68766	Does a hair found in Casey Anthony's trunk prove that little Caylee's body was placed there after her death!?	True	1.4019223567585115e-06	False
49863	28370286	W	49863	We'll be waiting for your pics so we can make an album sometime next week ok?	False	1.4064886528775133e-06	False
84140	30328617	W	84140	What do you do to stay in shape on the road?!?	False	1.431884202207634e-06	False
83127	30328617	W	83127	What you think?!?	False	1.461390424895015e-06	False
84144	30328617	W	84144	How is your week shaping up and are you doing everything you can to be better tomorrow than you were today?!?	False	1.5579495267203924e-06	False
84082	30328617	W	84082	It always pushes you a bit harder than normal so pleased I got in a good session...  What did you train today and how is your week going?!?	False	1.6182384893204116e-06	False
84477	30328617	W	84477	Wish me luck... ;)  How has your weeks training been?	False	1.6271639775577995e-06	False
84741	30328617	W	84741	Then I'll shuffle the pack and mix my workouts up for a next training phase: any suggestions for a next workout series?!?	False	1.695047908589764e-06	False
128927	5711509	W	128927	Mas mujeres casadas son infieles en comparacion con los hombres casados...segun una encuesta de la Universidad Bloomington del 2011...95% de las mujeres casadas -encuestadas- dijeron haber sido infieles sin ser descubiertas por sus esposos..mientras que los hombres fueron 83%... creen en esto???	False	1.811379168659144e-06	False
84080	30328617	W	84080	What are you up to this weekend?	False	1.81240124075277e-06	False
83971	30328617	W	83971	Do you like training with a mate or lifting solo?!?	True	1.8833001128593096e-06	False
84222	30328617	W	84222	Watch this space...  How have you started your week?!?	False	2.058873246446602e-06	False
83881	30328617	W	83881	What did you train today?!?	False	2.081384532837127e-06	False
83854	30328617	W	83854	Who else is training legs today?!?	False	2.0815585816125193e-06	False
83838	30328617	W	83838	This was short and sweet and was about all I could take after my sprint intervals yesterday: hopefully my neck will sort itself out over the weekend and I'll be back at it next week...  How has your week of training gone?!?	False	2.1572637451949817e-06	False
84354	30328617	W	84354	How long did you train for today, and what was the best thing about your session?	False	2.2878775561840925e-06	False
68637	66833072	W	68637	But why?	False	2.3265289574858627e-06	False
84155	30328617	W	84155	Now I'm getting ready to smash a serious Hammies and Lower Back session today...  Who wants to see the workout?!?	False	2.365490218814159e-06	False
84377	30328617	W	84377	Happy to get my weight training wrapped up this week, and the only thing left to do is a damn good stretch and run (with my dog) tomorrow morning... ;)  How has your week of training been?	False	2.459378494523712e-06	False
127810	5711509	W	127810	que opinas de este reporte????	False	2.4804606820749697e-06	False
64152	66833072	W	64152	So why was she smiling in court?	False	2.5441578236362616e-06	False
84068	30328617	W	84068	I'll then take some time from October to try and put some of my size back on so that I can hit the ground running in 2016...  How is your week of training going?	False	2.720193105543167e-06	False
64335	66833072	W	64335	What do you think of this case?	False	2.7407735500029062e-06	False
67128	66833072	W	67128	Want to get your comment on the show?	False	2.7475799119214273e-06	False
64371	66833072	W	64371	Who is this man Erin Corwin entered a vehicle with?	False	2.7746254392946312e-06	False
67000	66833072	W	67000	Did cops try to humiliate her?	True	2.7778028880431904e-06	False
67310	66833072	W	67310	The judge in the Drew Peterson trial rejects the defenses call for a mistrial, but is the jury already tainted?	False	2.859770427576791e-06	False
83986	30328617	W	83986	;)  What did you train today?!?	False	2.919045913096774e-06	False
84003	30328617	W	84003	;)  How has your week started off?!?	False	3.0047274316435946e-06	False
90955	3282887	W	90955	Well, ya I know this prolly sounds like I am blowing my own horn - praising the guy I picked for the job right?	False	3.0115079117098986e-06	False
61785	66833072	W	61785	Did you know Steve-O, of Jackass fame, is a vegan/animal activist?	True	3.0121349261502672e-06	False
84188	30328617	W	84188	What did you train today?	False	3.0711327151378143e-06	False
85015	30328617	W	85015	I just hit a killer chest & bi's session with these guys here in Madrid: who wants to see the workout, and the post workout pose down we hit?!?	False	3.168690303922972e-06	False
130228	82700793	W	130228	WILL THEY BE VIOLENT?	False	3.1886914056977744e-06	False
68771	66833072	W	68771	Plus, does a neighbor think the Anthony family has something to hide?	False	3.2399975460339903e-06	False
84239	30328617	W	84239	Not got time to train?!?	False	3.2961739554471237e-06	False
64449	66833072	W	64449	Where is Nineteen-year-old Erin Corwin?	False	3.3572194542141887e-06	False
83783	30328617	W	83783	I have a feeling I'm gonna be sore tomorrow... ;)  How did you start your week of training?!?	False	3.4174161228639477e-06	False
83990	30328617	W	83990	;)  Anyone going to give this a go?!?	False	3.4406940766507077e-06	False
68609	66833072	W	68609	Was it really a battle for power and control?	True	3.5946885128534944e-06	False
13977	73963222	W	13977	What can I say?	False	3.7258596251588116e-06	False
68614	66833072	W	68614	Plus, jurors get to see Casey's jailhouse conversations with her brother Lee… is he also duped by Casey's lies!?	False	3.7794831166948484e-06	False
63548	66833072	W	63548	Are you kidding me?	True	3.86443498723299e-06	False
63739	66833072	W	63739	UPDATE: Remember the couple on the way to see a woman's dying mother in the hospital?	False	3.899388757999667e-06	False
84718	30328617	W	84718	Now, I'm knackered and will definitely sleep well tonight…  Where does your #truestrength come from?!?	False	3.916178443419405e-06	False
130200	82700793	W	130200	"This has left the entire city, no, the whole world asking our country's best know mayor, ""Why are you still on the fifth floor?"	False	3.94463619945995e-06	False
84409	30328617	W	84409	How has your training week been?	False	3.973488490682797e-06	False
43576	12913141	W	43576	Who in the group do you think can dance?	False	4.003806458818815e-06	False
84017	30328617	W	84017	Am probably at around 65% so a long way to go...  What are you focussing on?!?	False	4.1374131984905915e-06	False
83996	30328617	W	83996	We went for a 1/2 meter pizza with a dessert each... whose side was whose do you think?!?	False	4.169881894999783e-06	False
83895	30328617	W	83895	How are you starting your week?!?	False	4.173069633295334e-06	False
68753	66833072	W	68753	Botox for babies!?	False	4.215553367825642e-06	False
63285	66833072	W	63285	Based on her expression, is reality/defeat sinking in for this remorseless killer or is she already plotting a longshot appeal based on the post-conviction discovery of porn on Travis Alexander's computer?	False	4.2178643078205624e-06	False
15842	11139544	W	15842	Who do YOU think should make it to the ANTM Sorority House next Cycle?	False	4.255153360555042e-06	False
83823	30328617	W	83823	;)  What do you think of this?	False	4.3300292724701706e-06	False
68860	66833072	W	68860	Is she trying to wrap all this up – with no jail time – before her next court date!?	True	4.357154551715148e-06	False
84780	30328617	W	84780	;)  I also hit a little triceps blast routine with a good mate who came in to see me at City Athletic Performance Gym… who wants to see that workout and photo too?!?	False	4.396403198270171e-06	False
84446	30328617	W	84446	;)  Why have I posted this shot up today?	False	4.449184694998998e-06	False
83907	30328617	W	83907	What do you think of this meal plan?!?	False	4.562500249161161e-06	False
84169	30328617	W	84169	Still feel I have a little left in the tank for a solid leg day tomorrow...  How did you start your weeks training?!?	False	4.735553651880053e-06	False
68200	66833072	W	68200	What do you think of her claims of self-defense?	False	4.873030070351447e-06	False
83887	30328617	W	83887	I'm gonna take the weekend off to rest and recover, and then look to smash 3 big sessions next week before taking the rest of the year off...  How are you planing on finishing 2015?!?	False	4.922408554097757e-06	False
64247	66833072	W	64247	Remember the pet selfie challenge we did in June?	False	4.929771983297471e-06	False
67002	66833072	W	67002	Are they any closer to finding the little girl?	True	5.0035687929606e-06	False
84227	30328617	W	84227	;)  Hope you all have a great weekend: what are you up to?	False	5.061319862553759e-06	False
78371	62514781	W	78371	Para realzar una top blanco , no hay nada mejor que ponerse en los labios un color rojo mate en este caso use de @maccosmetics el #lipliner (red) y #lipstick (Russianred) ,y combinarlo con un bello y perfecto  #eyelinet Brown en gel también de #mac excelente look para todo el día , hoy me fue muy bien a mi con #maityinteriano , que les pareció ?	False	5.0871202518232295e-06	False
84170	30328617	W	84170	;)  Who wants to see the workout?!?	False	5.124469351525107e-06	False
67038	66833072	W	67038	What questions do you have about the Jodi Arias trial?	False	5.346730116984055e-06	False
67384	66833072	W	67384	Do you love chocolate but stay away because you're afraid it's not good for you?	True	5.6089200646258774e-06	False
63227	66833072	W	63227	The reporter asks Cosby point blank: are you guilty?	False	5.641922808052868e-06	False
83850	30328617	W	83850	What do you think of this workout?!?	False	5.721170831862743e-06	False
84177	30328617	W	84177	What do you do to work on your weak areas?!?	False	5.7355564193617425e-06	False
68309	66833072	W	68309	Why would they use this graphic image?	False	5.789733591887725e-06	False
83974	30328617	W	83974	See my previous post on my diet for more info...  What did you train today and what was the best thing about the workout?!?	False	5.927739842315205e-06	False
127303	5711509	W	127303	Comparte tu opinion con nosotros...que piensas de esto???	False	5.9699262787704654e-06	False
48026	12913141	W	48026	Did you guys notice I finally darkened my hair a bit?	True	6.185144407311327e-06	False
91080	3282887	W	91080	I was going to hold it till like tomorrow or end of the week before I let out my excited squeak here, but nah, my head (and heart) now all stirred up, fired up for the work ahead so I cannot wait no more: Would you folks save your dates for my SECOND SOLO CONCERT this April 2017?	False	6.1867900459366965e-06	False
64053	66833072	W	64053	Joey Jackson is LIVE on HLN -- Join the conversation...  Did a horrific life of abuse turn a 12-year-old into a killer?	False	6.214578667340653e-06	False
39387	92735495	W	39387	"I thought,""wait I have to help God help me?"	False	6.2620754769371345e-06	False
84455	30328617	W	84455	Can you better this pic?!?	False	6.4528904097915785e-06	False
78583	62514781	W	78583	Que esperas?	False	6.484855960331437e-06	False
83984	30328617	W	83984	What are you up to this weekend?!?	False	6.515670095019743e-06	False
75093	62514781	W	75093	Cuantos estan listos para ver el segundo capitulo a las 10pm/9centro?	False	6.5396986593802e-06	False
68676	66833072	W	68676	Will these be game-changers in the trial of the century!?	False	6.741970098755878e-06	False
84018	30328617	W	84018	😂💪👶👊😘 What you guys think?!?	False	6.773618497213363e-06	False
83181	30328617	W	83181	This was a brutal session and was week 5 on my current training routine and the second rotation of a 4 week split: who wants to see more of these workouts?	False	6.83346357110981e-06	False
67076	66833072	W	67076	Want to get your comment on the show?	False	6.951592404047524e-06	False
15843	11139544	W	15843	Who do YOU think should make it to the ANTM Sorority House next Cycle?	False	7.12100346922373e-06	False
84208	30328617	W	84208	How have you started your week of training?!?	False	7.12955660175929e-06	False
15826	11139544	W	15826	Who do YOU think should make it to the ANTM Sorority House next Cycle?	False	7.157606335184141e-06	False
64875	66833072	W	64875	Remember this story?	False	7.2365934512541585e-06	False
83815	30328617	W	83815	How is your motivation as we head towards the end of January?!?	False	7.309441663494454e-06	False
68587	66833072	W	68587	What does she have to say about these crazy mob scenes!?	False	7.462641026911854e-06	False
68646	66833072	W	68646	Do you want to be part of the show?	True	7.741859928800388e-06	False
15830	11139544	W	15830	Who do YOU think should make it to the ANTM Sorority House next Cycle?	False	7.751491485463724e-06	False
37173	92735495	W	37173	Guess what?	False	7.844303208215386e-06	False
84220	30328617	W	84220	I got one of the guys at City Athletic Performance Gym to film some of it for you all... who wants to see the video update from week 11?	False	7.983700395119975e-06	False
13590	73963222	W	13590	Already planning what to wear on #ValentinesDay?	False	8.163533731453398e-06	False
83676	30328617	W	83676	💥 Caption This Pic 💥 😂  Shaun Stafford Fitness  Hitting the expos is one of the best parts of my job: getting to meet and catch up with fellow fitness enthusiasts and talk all things training and sports nutrition  with the amazing team at Optimum Nutrition 💪🏻   This time next week I'll be in Germany at Fibo... Who's going to come and say hi?!?	False	8.271470965826033e-06	False
64891	66833072	W	64891	Remember Marius the giraffe?	False	8.378448463242094e-06	False
84153	30328617	W	84153	What did you train today and are you starting the week strong?!?	False	8.43310255649321e-06	False
84561	30328617	W	84561	What do you guys think?	False	8.437973692099199e-06	False
68894	66833072	W	68894	Cops say they have the monster who killed Amy Henslee in custody… but who is the second victim?	False	8.96909346626007e-06	False
63363	66833072	W	63363	QUESTION: What do you think the judge will do?	False	8.994192500555442e-06	False
84067	30328617	W	84067	What are you training tomorrow?	False	9.331448655336416e-06	False
83941	30328617	W	83941	Shaun Stafford Fitness  I'm gonna be joined by one of my favourite athletes for the workout today... can you guess who that is?!?	False	9.568823849392949e-06	False
64369	66833072	W	64369	Who is this man Erin Corwin entered a vehicle with?	False	9.682607966854384e-06	False
84178	30328617	W	84178	This took pretty much an hour and felt good: I could feel the shoulder working harder than it has done for a while, so will be interested to see how I pull up tomorrow...  How have you started your week of training?!?	False	9.863601404647149e-06	False
84013	30328617	W	84013	I'm off to watch the Rugby now as the mighty USA look to upset the favourites South Africa: who do you think is going to win?!?	False	1.0032607984711284e-05	False
63877	66833072	W	63877	So who are these mystery roomates?	False	1.0214431286126313e-05	False
48920	28370286	W	48920	Anyway, how do you guys feel about watching the last 2 episodes of DC's Legends of Tomorrow live with Caity?	False	1.0269637432003265e-05	False
85439	30328617	W	85439	;) Am feeling a good mix of strength gains whilst maintaining an element of size: am looking forward to taking the plunge next week with some new programs... anyone have any ideas what I should do next?	False	1.0314712431847006e-05	False
13764	73963222	W	13764	Silver or gold?	False	1.0329151290955352e-05	False
64215	66833072	W	64215	Why are cops saying the molestation charge is irrelevant?	False	1.0348131016413298e-05	False
64540	66833072	W	64540	LATEST: http://2wsb.tv/1jLUyIp  How can two witnesses have opposite opinions on how dad acted?	False	1.0474529501536267e-05	False
85440	30328617	W	85440	deal?!?	False	1.048951981597046e-05	False
15833	11139544	W	15833	Who do YOU think should make it to the ANTM Sorority House next Cycle?	False	1.0523820953234342e-05	False
83839	30328617	W	83839	Back is definitely one of my favourite muscle groups to train: what is your favourite muscle group and why?!?	False	1.0629256337546522e-05	False
68354	66833072	W	68354	Is Casey Anthony planning to learn a new language and flee the country as soon as her probation is over?	True	1.064424640095929e-05	False
68538	66833072	W	68538	Could Casey walk free in days?	False	1.0811106298302953e-05	False
84190	30328617	W	84190	What is your favourite pre-workout supplement and why?!?	False	1.0821576879371797e-05	False
84173	30328617	W	84173	Who wants to see that session too?	False	1.0857661329799484e-05	False
84050	30328617	W	84050	This is my last upper body blaster at City Athletic Performance Gym before I head out to The US for Olympia and my Bodybuilding.com photoshoot... What do you think?	False	1.0927027013551971e-05	False
85476	30328617	W	85476	Fair?!?	False	1.0970894675055298e-05	False
63810	66833072	W	63810	What do you think could have happened to Tammy?	False	1.1002751823863122e-05	False
84084	30328617	W	84084	I have switched back over to a variation of CARB CYCLING for this last phase of my pre shoot diet... Shaun Stafford Fitness  Why?	False	1.105568896320186e-05	False
15849	11139544	W	15849	Who do YOU think should make it to the ANTM Sorority House next Cycle?	False	1.1144491432579784e-05	False
15824	11139544	W	15824	Who do YOU think should make it to the ANTM Sorority House next Cycle?	False	1.1197595268241933e-05	False
75402	62514781	W	75402	Cuéntame, ¿quién fue tu favorita?	False	1.128893015933663e-05	False
83935	30328617	W	83935	#INTERNATIONALCHESTDAY ;)  Anyone else train chest today?!?	False	1.1578287198776849e-05	False
38104	92735495	W	38104	I've sat on this for a while and I felt tonight, God said share it lol right in the midst of me planning my biggest conference of the year that is happening right here next FRIDAY.. Are y'all registered for it?	False	1.1889188155533859e-05	False
83572	30328617	W	83572	Smashed a brutal chest workout today: who wants to see it?!?	False	1.1959302193997878e-05	False
66722	66833072	W	66722	Questions or comments about the Jodi Arias trial?	False	1.2106069452788581e-05	False
13435	73963222	W	13435	Who took their dog to work today?	False	1.2334321444207319e-05	False
83843	30328617	W	83843	This was a slightly longer workout than usual but we didn't want to short change ourselves: what do you think of this workout?	False	1.2557251776845746e-05	False
15829	11139544	W	15829	Who do YOU think should make it to the ANTM Sorority House next Cycle?	False	1.2559508585696655e-05	False
68966	66833072	W	68966	TONIGHT: What's the motive for this cold-blooded killing?	False	1.2592517459775188e-05	False
85009	30328617	W	85009	As mentioned, I had the opportunity to smash Steve through one of my favourite leg routines when he arrived at the gym: as you can imagine, he gave it everything... who wants to see the workout?!?	False	1.306939248368888e-05	False
84296	30328617	W	84296	Get in shape for summer?!?	False	1.332255205366284e-05	False
83999	30328617	W	83999	What do you think?!?	False	1.3418790063002284e-05	False
64069	66833072	W	64069	If so, will this mean trouble for Justin who is currently on probation for vandalizing his former neighbors house?	False	1.359584437365946e-05	False
127196	5711509	W	127196	¿Les  encanta bailar y saben mover muy bien el esqueleto?	False	1.3842806907304883e-05	False
84879	30328617	W	84879	;)  Who wants to see what we have in store for today?	False	1.4040040224982953e-05	False
78582	62514781	W	78582	Que esperas?	False	1.4183403231227132e-05	False
63667	66833072	W	63667	What the heck is going on in the Jodi Arias re-trial now?	False	1.4256931903045e-05	False
83832	30328617	W	83832	This was more Bicep focussed than normal but I have a big chest session planned at the end of the week so will throw in a little more elbow extension work there... ;)  How often do you hit a muscle group a week?!?	False	1.4470305787828153e-05	False
